control_name,split,family,seed,brier_score,log_loss,accuracy,status
label_permutation_control,calibration,ring,7101,0.0679319574872,0.301967083099,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.324626490528,0.843412153624,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.0819884002408,0.33734324893,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.0544334238701,0.265672361801,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.365784009678,0.928365341581,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.804024263408,2.26986624654,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.040504778262,0.224717275609,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.217828207049,0.628709967494,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.453978820828,1.12018176001,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.784698786809,2.17008647863,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.0890659787899,0.35444776597,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.410457238574,1.02351233271,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.667039710574,1.6967674716,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.925315920957,3.26841877168,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.847063525313,2.53024559208,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.0794180145748,0.331023933512,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.47185153183,1.16127896634,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.398539105859,0.997770718931,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.116667579469,0.41789154,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.0797263520181,0.33178521103,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.448117086928,1.10689292331,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.846195343941,2.52433919949,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.0255890067024,0.174312485905,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.214726492094,0.622476064328,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.0724257381961,0.313506407766,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.829434876326,2.4161251164,0,DEGRADED
label_permutation_control,calibration,ring,7101,0.0597497567845,0.280292951016,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.0894051079151,0.355257191346,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.0227340545701,0.16343483521,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.000921718866089,0.0308302280799,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.00410582921192,0.0662217980717,1,DEGRADED
label_permutation_control,calibration,ring,7101,0.0561270662287,0.270381285365,1,DEGRADED
label_permutation_control,calibration,ring,7102,0.0678019280743,0.301629600127,1,DEGRADED
label_permutation_control,calibration,ring,7102,0.324264692967,0.842674260065,0,DEGRADED
label_permutation_control,calibration,ring,7102,0.0818369123604,0.336972484354,1,DEGRADED
label_permutation_control,calibration,ring,7102,0.0543253868316,0.265370269302,1,DEGRADED
label_permutation_control,calibration,ring,7102,0.380068142639,0.958406971898,0,DEGRADED
label_permutation_control,calibration,ring,7102,0.812060172903,2.31408914825,0,DEGRADED
