pair_type,control_family,pair_index,left_observation_id,right_observation_id,component,normalized_value,robust_alt_value,normalization_reference,small_denominator_flag,artifact_flags,raw_values_json
target_target,target,0,obs_ed1f0ceddbbf708b259ea1a6,obs_c21d789f14a613fc6b0083e2,d_inv,0.3770421455678638,0.24913315178490292,"per-field abs diff divided by max(abs(left), abs(right), 1e-12)",False,,"{""shell_latency_span"": {""abs_diff"": 0.6000000000000001, ""default_normalized"": 0.20000000000000004, ""left"": 3.0, ""right"": 2.4, ""symmetric_denominator"": 5.4000000000010004, ""symmetric_relative"": 0.11111111111109054}, ""terminal_low_k_fraction"": {""abs_diff"": 0.12722777252600004, ""default_normalized"": 0.30333261945766266, ""left"": 0.419433204228, ""right"": 0.292205431702, ""symmetric_denominator"": 0.711638635931, ""symmetric_relative"": 0.1787814293690709}, ""transport_character_index"": {""abs_diff"": 0.12304273749799999, ""default_normalized"": 0.6277938172459286, ""left"": 0.072949535949, ""right"": 0.195992273447, ""symmetric_denominator"": 0.26894180939699996, ""symmetric_relative"": 0.4575069148745473}}"
target_target,target,0,obs_ed1f0ceddbbf708b259ea1a6,obs_c21d789f14a613fc6b0083e2,d_struct,0.33333333333333337,0.22222222222222224,edge Jaccard plus relative edge-count drift,False,,"{""edge_count"": {""left"": 9.0, ""right"": 9.0, ""symmetric_denominator"": 18.000000000001, ""symmetric_relative"": 0.0}, ""edge_set"": {""intersection"": 3, ""jaccard_distance"": 0.6666666666666667, ""left_count"": 6, ""right_count"": 6, ""union"": 9}, ""stable_edge_count"": {""left"": 3.0, ""right"": 3.0, ""symmetric_denominator"": 6.000000000001, ""symmetric_relative"": 0.0}}"
target_target,target,0,obs_ed1f0ceddbbf708b259ea1a6,obs_c21d789f14a613fc6b0083e2,d_spec,0.47727968175725527,0.32741279440304366,"per-field abs diff divided by max(abs(left), abs(right), 1e-12)",False,,"{""terminal_fluctuation_slope"": {""abs_diff"": 0.307668304815, ""default_normalized"": 0.6775279963443092, ""left"": 0.146435889366, ""right"": 0.454104194181, ""symmetric_denominator"": 0.600540083548, ""symmetric_relative"": 0.5123193492718936}, ""terminal_low_k_fraction"": {""abs_diff"": 0.12722777252600004, ""default_normalized"": 0.30333261945766266, ""left"": 0.419433204228, ""right"": 0.292205431702, ""symmetric_denominator"": 0.711638635931, ""symmetric_relative"": 0.1787814293690709}, ""terminal_low_k_power"": {""abs_diff"": 0.108466420531, ""default_normalized"": 0.4509784294697939, ""left"": 0.240513544425, ""right"": 0.132047123894, ""symmetric_denominator"": 0.37256066832, ""symmetric_relative"": 0.2911376045681665}}"
target_target,target,0,obs_ed1f0ceddbbf708b259ea1a6,obs_c21d789f14a613fc6b0083e2,d_causal,0.0,0.0,front depths use fixed scale 4.0; causal fields use relative numeric distance,False,,"{""acyclicity_score"": {""left"": 0.555555555556, ""right"": 0.555555555556, ""symmetric_denominator"": 1.111111111113, ""symmetric_relative"": 0.0}, ""front_far_depth"": {""abs_diff"": 0.0, ""left"": 3.0, ""right"": 3.0, ""scale"": 4.0}, ""front_near_depth"": {""abs_diff"": 0.0, ""left"": 2.0, ""right"": 2.0, ""scale"": 4.0}, ""mean_causal_depth"": {""left"": 1.714285714286, ""right"": 1.714285714286, ""symmetric_denominator"": 3.428571428573, ""symmetric_relative"": 0.0}, ""mismatch_rate"": {""left"": 0.035130761687, ""right"": 0.035130761687, ""symmetric_denominator"": 0.07026152337500001, ""symmetric_relative"": 0.0}, ""order_compatibility_score"": {""left"": 0.964869238313, ""right"": 0.964869238313, ""symmetric_denominator"": 1.929738476627, ""symmetric_relative"": 0.0}}"
target_target,target,0,obs_ed1f0ceddbbf708b259ea1a6,obs_c21d789f14a613fc6b0083e2,d_time,0.17819353741496596,0.2046958333333333,rank distance plus event-time abs diff divided by tau scale 4.2,False,heuristic_rank_interpolation_present,"{""left_time_key_count"": 7, ""rank_distance"": 0.14285714285714285, ""right_time_key_count"": 7, ""shared_time_keys"": [""dispersion_half"", ""front_far"", ""front_near"", ""low_k_half"", ""radius_half"", ""spectral_half"", ""width_half""], ""time_distance_values"": [0.06613761904761906, 0.39682547619047615, 0.28571428571428564, 0.0, 0.5846561904761903, 0.04761928571428573, 0.11375666666666662]}"
target_target,target,0,obs_ed1f0ceddbbf708b259ea1a6,obs_c21d789f14a613fc6b0083e2,d_addr,0.0,0.0,exact signature match else prefix/depth distance with minimum mismatch floor 0.25,False,,"{""depth_distance"": 0.0, ""left_address"": {""dominant_chain_prefix"": [""low_k_half"", ""dispersion_half""], ""front_depth_profile"": {""front_far_depth"": 3.0, ""front_near_depth"": 2.0}, ""monotonic_shell_ordering"": true, ""order_compatibility_band"": 0.95}, ""prefix_distance"": 0.0, ""right_address"": {""dominant_chain_prefix"": [""low_k_half"", ""dispersion_half""], ""front_depth_profile"": {""front_far_depth"": 3.0, ""front_near_depth"": 2.0}, ""monotonic_shell_ordering"": true, ""order_compatibility_band"": 0.95}, ""without_floor"": 0.0}"
target_target,target,1,obs_ea0aca853f3046642f451b7d,obs_8de73c59341ac382087fba03,d_inv,0.2668084637230561,0.17511020078160686,"per-field abs diff divided by max(abs(left), abs(right), 1e-12)",False,,"{""shell_latency_span"": {""abs_diff"": 0.0, ""default_normalized"": 0.0, ""left"": 3.0, ""right"": 3.0, ""symmetric_denominator"": 6.000000000001, ""symmetric_relative"": 0.0}, ""terminal_low_k_fraction"": {""abs_diff"": 0.10609028839100004, ""default_normalized"": 0.2410439918264427, ""left"": 0.440128325071, ""right"": 0.33403803668, ""symmetric_denominator"": 0.7741663617519999, ""symmetric_relative"": 0.1370381014113159}, ""transport_character_index"": {""abs_diff"": 0.09932477055300001, ""default_normalized"": 0.5593813993427257, ""left"": 0.078237033736, ""right"": 0.177561804289, ""symmetric_denominator"": 0.255798838026, ""symmetric_relative"": 0.38829250093350465}}"
target_target,target,1,obs_ea0aca853f3046642f451b7d,obs_8de73c59341ac382087fba03,d_struct,0.45454545454545453,0.30303030303030304,edge Jaccard plus relative edge-count drift,False,,"{""edge_count"": {""left"": 11.0, ""right"": 11.0, ""symmetric_denominator"": 22.000000000001, ""symmetric_relative"": 0.0}, ""edge_set"": {""intersection"": 1, ""jaccard_distance"": 0.9090909090909091, ""left_count"": 6, ""right_count"": 6, ""union"": 11}, ""stable_edge_count"": {""left"": 1.0, ""right"": 1.0, ""symmetric_denominator"": 2.000000000001, ""symmetric_relative"": 0.0}}"
target_target,target,1,obs_ea0aca853f3046642f451b7d,obs_8de73c59341ac382087fba03,d_spec,0.39431611175798237,0.29636687814975116,"per-field abs diff divided by max(abs(left), abs(right), 1e-12)",False,,"{""terminal_fluctuation_slope"": {""abs_diff"": 0.353389527627, ""default_normalized"": 0.8109294084762954, ""left"": 0.082393814219, ""right"": 0.435783341846, ""symmetric_denominator"": 0.5181771560659999, ""symmetric_relative"": 0.6819859260294928}, ""terminal_low_k_fraction"": {""abs_diff"": 0.10609028839100004, ""default_normalized"": 0.2410439918264427, ""left"": 0.440128325071, ""right"": 0.33403803668, ""symmetric_denominator"": 0.7741663617519999, ""symmetric_relative"": 0.1370381014113159}, ""terminal_low_k_power"": {""abs_diff"": 0.03617994613700001, ""default_normalized"": 0.13097493497120913, ""left"": 0.240055702653, ""right"": 0.27623564879, ""symmetric_denominator"": 0.516291351444, ""symmetric_relative"": 0.07007660700844474}}"
target_target,target,1,obs_ea0aca853f3046642f451b7d,obs_8de73c59341ac382087fba03,d_causal,0.0,0.0,front depths use fixed scale 4.0; causal fields use relative numeric distance,False,,"{""acyclicity_score"": {""left"": 0.454545454545, ""right"": 0.454545454545, ""symmetric_denominator"": 0.909090909091, ""symmetric_relative"": 0.0}, ""front_far_depth"": {""abs_diff"": 0.0, ""left"": 3.0, ""right"": 3.0, ""scale"": 4.0}, ""front_near_depth"": {""abs_diff"": 0.0, ""left"": 2.0, ""right"": 2.0, ""scale"": 4.0}, ""mean_causal_depth"": {""left"": 1.714285714286, ""right"": 1.714285714286, ""symmetric_denominator"": 3.428571428573, ""symmetric_relative"": 0.0}, ""mismatch_rate"": {""left"": 0.035886189834, ""right"": 0.035886189834, ""symmetric_denominator"": 0.071772379669, ""symmetric_relative"": 0.0}, ""order_compatibility_score"": {""left"": 0.964113810166, ""right"": 0.964113810166, ""symmetric_denominator"": 1.928227620333, ""symmetric_relative"": 0.0}}"
