split,family,seed,transformation,holonomy,current_asymmetry,covariance_residual,spectrum_shift,transform_distance,status
calibration,ring,5101,identity,0,0,0.353758301424,6.8255968955e-17,0,PASS
calibration,ring,5101,pure_gauge,0,0.251899370582,0.353758301424,1.43382522527e-16,0,FAIL
calibration,ring,5101,nontrivial_flux,0.0875695626969,0.188567447794,0.353758301424,0.0279119333101,0.0875695626969,FAIL
calibration,ring,5101,orientation_reversal,1.51513331277,0.251580196419,0.353758301424,0.00729510802493,0.251580196419,TRANSFORMATION_DETECTED
calibration,ring,5102,identity,0,0,0.569352225595,6.09346298705e-17,0,PASS
calibration,ring,5102,pure_gauge,0,0.339663017166,0.569352225595,1.73524192047e-16,0,FAIL
calibration,ring,5102,nontrivial_flux,2.26270209713,0.168923255977,0.569352225595,1.64689235248e-16,2.26270209713,TRANSFORMATION_DETECTED
calibration,ring,5102,orientation_reversal,0.392035906302,0.138992695338,0.569352225595,2.08322016836e-16,0.138992695338,TRANSFORMATION_DETECTED
calibration,ring,5103,identity,0,0,0.345757146775,1.56177942157e-16,0,PASS
calibration,ring,5103,pure_gauge,0,0.206140147406,0.345757146775,1.71203836193e-16,0,FAIL
calibration,ring,5103,nontrivial_flux,0.744326995926,0.212173908068,0.345757146775,9.25727276743e-17,0.744326995926,TRANSFORMATION_DETECTED
calibration,ring,5103,orientation_reversal,0.279355028288,0.158185651835,0.345757146775,1.4055400425e-16,0.158185651835,TRANSFORMATION_DETECTED
holdout,grid,5101,identity,0,0,0.275380443454,1.23326666954e-15,0,PASS
holdout,grid,5101,pure_gauge,0,0.451104016678,0.275380443454,7.32998900787e-16,0,FAIL
holdout,grid,5101,nontrivial_flux,1.58615977431,0.434227424664,0.275380443454,0.138849346475,1.58615977431,TRANSFORMATION_DETECTED
holdout,grid,5101,orientation_reversal,0.272151908502,0.40847808988,0.275380443454,0.0463028935013,0.40847808988,TRANSFORMATION_DETECTED
holdout,grid,5102,identity,0,0,0.414782310434,1.01829876802e-15,0,PASS
holdout,grid,5102,pure_gauge,0,0.802281217663,0.414782310434,1.11120047147e-15,0,FAIL
holdout,grid,5102,nontrivial_flux,0.0767239773823,0.312616191925,0.414782310434,0.0397066140611,0.0767239773823,FAIL
holdout,grid,5102,orientation_reversal,0.0203952557478,0.416104552228,0.414782310434,0.0494124055449,0.416104552228,TRANSFORMATION_DETECTED
holdout,grid,5103,identity,0,0,0.288175134752,9.47708023806e-16,0,PASS
holdout,grid,5103,pure_gauge,0,0.547299712716,0.288175134752,1.0691501073e-15,0,FAIL
holdout,grid,5103,nontrivial_flux,1.21664016103,0.290598272616,0.288175134752,0.051781678537,1.21664016103,TRANSFORMATION_DETECTED
holdout,grid,5103,orientation_reversal,0.0860515567387,0.494826605936,0.288175134752,0.0420987474069,0.494826605936,TRANSFORMATION_DETECTED
