admissible,blocks_with_errors,bridge_margin,condition,correction_peak,corrective_cost,decode_status,decoded_relation_accuracy,eta,final_functional_error,final_state_region_error,final_trajectory_corridor_error,functional_restoration,identity_preservation,magnitude,maximum_block_error_weight,mechanism_note,node_rank_identity,operator_restoration,overshoot,parity_decoding_success,partition,perturbation_family,post_functional_error,post_recovery_persistence,post_state_region_error,post_symbol_error_weight,post_trajectory_corridor_error,radius_class,recovery_latency,relational_error_weight,relational_symbol_restoration,seed,state_region_recovery_gain,syndrome_reduction,syndrome_weight_after_decode,syndrome_weight_before,trajectory_corridor_recovery_gain,trivial_attractor,variance_ratio,wrong_codeword_convergence
True,2,0.02,target,0.002032865593791951,8.940596803319213e-06,eliminated,0.875,0.4,0.03388253310645402,0.1681666595667891,0.250116200751289,-0.000437907734519737,0.875,0.25,2,local syndrome decode plus bounded relation feedback,0.9840201465201464,0.0,0.00046480300515594486,False,calibration,localized_block_shock,0.033867702177719984,1.0,0.16010861456571088,4,0.25,near_above_boundary,0,4,0.875,7101,-0.050328616126842425,4,0,4,-0.00046480300515594486,False,1.1032935483722524,True
True,2,0.02,rt02_frozen_baseline,0.032996642756292986,0.003078514772338462,not_applicable,,0.4,0.043681389855976,0.0,0.2136697565317694,-0.2897653825688828,1.0,0.25,2,unchanged RT-02 one-bit orientation mechanism,0.9887362637362638,1.0,0.0,,calibration,localized_block_shock,0.033867702177719984,1.0,0.16010861456571088,4,0.25,near_above_boundary,0,4,1.0,7101,1.0,,,,0.14532097387292242,False,1.0974026568985138,False
True,2,0.02,passive_relaxation,0.0,0.0,not_applicable,,0.4,0.033867702177719984,0.16010861456571088,0.25,0.0,0.9166666666666666,0.25,2,no restorative mechanism,0.9841117216117214,0.0,0.0,,calibration,localized_block_shock,0.033867702177719984,1.0,0.16010861456571088,4,0.25,near_above_boundary,0,4,0.9166666666666666,7101,0.0,,,,0.0,False,1.1033146654772856,False
True,2,0.02,operator_only,0.09378177971050379,0.017460002696894888,not_applicable,,0.4,0.12277902474438357,0.01969857949669244,0.4215381909899931,-2.6252540576890477,0.7291666666666666,0.25,2,matched bounded smoothing without parity,0.905128205128205,0.01507102516537795,0.6861527639599725,,calibration,localized_block_shock,0.033867702177719984,1.0,0.16010861456571088,4,0.25,near_above_boundary,0,4,0.7291666666666666,7101,0.8769673977248248,,,,-0.6861527639599725,False,0.9541618958715191,False
True,2,0.02,random_parity_checks,0.0384547128486958,0.0032914250959142455,eliminated,0.3125,0.4,0.030121976451341653,0.06341090171545145,0.25916121956600946,0.11059875590976682,0.7708333333333334,0.25,2,degree-matched checks on unrelated variables,0.9672161172161171,0.0,0.03664487826403784,False,calibration,localized_block_shock,0.033867702177719984,1.0,0.16010861456571088,4,0.25,near_above_boundary,0,4,0.7708333333333334,7101,0.6039507187826755,16,0,16,-0.03664487826403784,False,1.0800889599161225,True
True,2,0.02,memory_budget_random_bits,0.04583060461851581,0.004544924608135023,eliminated,0.6875,0.4,0.034794790699882144,0.13881785403012736,0.292547426278,-0.02737382410230504,0.6875,0.25,2,32 random bits replace structured parity,0.9603937728937728,0.0,0.17018970511200004,False,calibration,localized_block_shock,0.033867702177719984,1.0,0.16010861456571088,4,0.25,near_above_boundary,0,4,0.6875,7101,0.13297698311445622,15,0,15,-0.17018970511200004,False,1.0752458725298812,True
True,2,0.02,target,0.002032865593791949,8.940596803319206e-06,eliminated,0.875,0.4,0.07451568729319433,0.5117880223316248,0.5500528282613036,-9.049252045244773e-05,0.875,0.55,2,local syndrome decode plus bounded relation feedback,0.9180860805860805,0.0,9.60513841883337e-05,False,calibration,localized_block_shock,0.07450894479098394,1.0,0.5033510097340295,4,0.55,near_above_boundary,0,4,0.875,7101,-0.016761688035658143,4,0,4,-9.605138418835388e-05,False,1.3922711469449953,True
True,2,0.02,rt02_frozen_baseline,0.14067457328684016,0.027333666871374368,not_applicable,,0.4,0.10488019175674826,0.0,0.4535534448388385,-0.4076188040370616,1.0,0.55,2,unchanged RT-02 one-bit orientation mechanism,0.9453754578754578,1.0,0.0,,calibration,localized_block_shock,0.07450894479098394,1.0,0.5033510097340295,4,0.55,near_above_boundary,0,4,1.0,7101,1.0,,,,0.17535737302029367,False,1.330466295086818,False
True,2,0.02,passive_relaxation,0.0,0.0,not_applicable,,0.4,0.07450894479098394,0.5033510097340295,0.55,0.0,0.9166666666666666,0.55,2,no restorative mechanism,0.9181776556776555,0.0,0.0,,calibration,localized_block_shock,0.07450894479098394,1.0,0.5033510097340295,4,0.55,near_above_boundary,0,4,0.9166666666666666,7101,0.0,,,,0.0,False,1.3922922640500284,False
True,2,0.02,operator_only,0.11734606100794161,0.027375919260381115,not_applicable,,0.4,0.12769452409969176,0.0197049053754149,0.5456504031104884,-0.7138146897383469,0.7291666666666666,0.55,2,matched bounded smoothing without parity,0.8617216117216117,0.01475473122925508,0.0,,calibration,localized_block_shock,0.07450894479098394,1.0,0.5033510097340295,4,0.55,near_above_boundary,0,4,0.7291666666666666,7101,0.960852556179778,,,,0.007908357980930258,False,1.1577720734675303,False
