split,family,seed,transformation,holonomy,current_asymmetry,covariance_residual,spectrum_shift,target_probability,binary_target
calibration,ring,6101,identity,0,0,0.556079942397,1.02622933457e-16,0.0720190897524,0
calibration,ring,6101,pure_gauge,0,0.174941118734,0.556079942397,1.1004023437e-16,0.414316200768,0
calibration,ring,6101,nontrivial_flux,0.973895943583,0.136171066008,0.556079942397,1.39919671133e-16,0.79581463181,1
calibration,ring,6101,orientation_reversal,0.0978664680481,0.216793608824,0.556079942397,8.62946959919e-17,0.470093747979,0
calibration,ring,6102,identity,0,0,0.524668176572,9.15086351582e-17,0.0741468413475,0
calibration,ring,6102,pure_gauge,0,0.186011839378,0.524668176572,1.31399068474e-16,0.425202086833,0
calibration,ring,6102,nontrivial_flux,0.616851015732,0.149924182149,0.524668176572,8.71115088691e-17,0.682562396199,1
calibration,ring,6102,orientation_reversal,1.2738043673,0.153174951014,0.524668176572,7.79615345397e-17,0.875663428238,1
calibration,ring,6103,identity,0,0,0.491940404786,2.95176137086e-16,0.0764251225736,0
calibration,ring,6103,pure_gauge,0,0.262662005633,0.491940404786,2.10595263679e-16,0.455928171334,0
calibration,ring,6103,nontrivial_flux,0.0632586828253,0.175317662331,0.491940404786,0.0344957531735,0.463316997412,0
calibration,ring,6103,orientation_reversal,0.245096777427,0.17019379995,0.491940404786,0.00984561427774,0.539759309227,0
holdout,grid,6101,identity,0,0,0.471590381907,1.0591008328e-15,0.0778739537413,0
holdout,grid,6101,pure_gauge,0,0.330936068737,0.471590381907,2.40153444182e-16,0.481391823419,0
holdout,grid,6101,nontrivial_flux,0.185166298796,0.334235149373,0.471590381907,0.0782639619638,0.576824118762,0
holdout,grid,6101,orientation_reversal,0.920069093323,0.399905632611,0.471590381907,0.0104314600109,0.841666411272,1
holdout,grid,6102,identity,0,0,0.657543772985,8.90997968105e-16,0.0655255726433,0
holdout,grid,6102,pure_gauge,0,0.46926715178,0.657543772985,1.25895722634e-15,0.476411725259,0
holdout,grid,6102,nontrivial_flux,0.674167301565,0.404889512289,0.657543772985,0.0637501809988,0.746508155915,1
holdout,grid,6102,orientation_reversal,0.910699593613,0.38734838006,0.657543772985,0.0632696379874,0.815250614449,1
holdout,grid,6103,identity,0,0,0.588139649981,9.69306926157e-16,0.0699056439469,0
holdout,grid,6103,pure_gauge,0,0.467974027101,0.588139649981,7.63740453866e-16,0.493357686424,0
holdout,grid,6103,nontrivial_flux,1.52063993583,0.425587364937,0.588139649981,0.0337748241392,0.935835040757,1
holdout,grid,6103,orientation_reversal,1.03947176521,0.457828228284,0.588139649981,0.0448953064452,0.865208407514,1
